模型,准确率,精确率,召回率,F1值
逻辑回归 (Logistic Regression),0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
K近邻 (KNN),0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274
决策树 (Decision Tree),0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286
随机森林 (Random Forest),0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
支持向量机 (SVM),0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
